ISO3v10,Continent,Country,GeoRegion,GeoSubregion,ElevationZone,Income Group,Lending Category,UrbanRuralDesignation,Population1990,Population2000,Population2010,Population2100,LandArea,PercentofCountryPopulation1990,PercentofCountryPopulation2000,PercentofCountryPopulation2010,PercentofCountryPopulation2100,PercentofCountryLandArea
ABW,North America,Aruba,Americas,Caribbean,Elevations > 20m or Non-Contiguous,High income: nonOECD,Not Defined,Rural,95,131,154,155,0,0,0,0,0,0
ABW,North America,Aruba,Americas,Caribbean,Elevations > 20m or Non-Contiguous,High income: nonOECD,Not Defined,Urban,40491,56164,65952,67260,111,61,61,61,65,61
ABW,North America,Aruba,Americas,Caribbean,Elevations Less Than or Equal To 10m ,High income: nonOECD,Not Defined,Rural,2601,3608,4234,4014,7,4,4,4,4,4
ABW,North America,Aruba,Americas,Caribbean,Elevations Less Than or Equal To 10m ,High income: nonOECD,Not Defined,Urban,10495,14557,17093,13853,29,16,16,16,13,16
ABW,North America,Aruba,Americas,Caribbean,Elevations Less Than or Equal To 12m ,High income: nonOECD,Not Defined,Rural,2855,3960,4647,4443,8,4,4,4,4,4
ABW,North America,Aruba,Americas,Caribbean,Elevations Less Than or Equal To 12m ,High income: nonOECD,Not Defined,Urban,13270,18406,21613,17714,36,20,20,20,17,20
ABW,North America,Aruba,Americas,Caribbean,Elevations Less Than or Equal To 1m,High income: nonOECD,Not Defined,Rural,465,645,756,770,1,1,1,1,1,1
ABW,North America,Aruba,Americas,Caribbean,Elevations Less Than or Equal To 1m,High income: nonOECD,Not Defined,Urban,544,755,886,852,1,1,1,1,1,1
ABW,North America,Aruba,Americas,Caribbean,Elevations Less Than or Equal To 20m ,High income: nonOECD,Not Defined,Rural,3194,4431,5200,5018,9,5,5,5,5,5
ABW,North America,Aruba,Americas,Caribbean,Elevations Less Than or Equal To 20m ,High income: nonOECD,Not Defined,Urban,22616,31369,36836,30919,62,34,34,34,30,34
ABW,North America,Aruba,Americas,Caribbean,Elevations Less Than or Equal To 3m,High income: nonOECD,Not Defined,Rural,911,1263,1483,1416,2,1,1,1,1,1
ABW,North America,Aruba,Americas,Caribbean,Elevations Less Than or Equal To 3m,High income: nonOECD,Not Defined,Urban,1226,1700,1996,1797,3,2,2,2,2,2
ABW,North America,Aruba,Americas,Caribbean,Elevations Less Than or Equal To 5m,High income: nonOECD,Not Defined,Rural,1562,2167,2543,2407,4,2,2,2,2,2
ABW,North America,Aruba,Americas,Caribbean,Elevations Less Than or Equal To 5m,High income: nonOECD,Not Defined,Urban,3132,4345,5102,4268,9,5,5,5,4,5
ABW,North America,Aruba,Americas,Caribbean,Elevations Less Than or Equal To 7m,High income: nonOECD,Not Defined,Rural,2170,3010,3533,3306,6,3,3,3,3,3
ABW,North America,Aruba,Americas,Caribbean,Elevations Less Than or Equal To 7m,High income: nonOECD,Not Defined,Urban,5819,8071,9477,7704,16,9,9,9,7,9
ABW,North America,Aruba,Americas,Caribbean,Elevations Less Than or Equal To 9m,High income: nonOECD,Not Defined,Rural,2488,3451,4050,3822,7,4,4,4,4,4
ABW,North America,Aruba,Americas,Caribbean,Elevations Less Than or Equal To 9m,High income: nonOECD,Not Defined,Urban,9132,12666,14873,12026,25,14,14,14,12,14
ABW,North America,Aruba,Americas,Caribbean,Total National Population,High income: nonOECD,Not Defined,Rural,3289,4562,5354,5173,9,5,5,5,5,5
ABW,North America,Aruba,Americas,Caribbean,Total National Population,High income: nonOECD,Not Defined,Urban,63107,87533,102787,98179,173,95,95,95,95,95
AGO,Africa,Angola,Africa,Middle Africa,Elevations > 20m or Non-Contiguous,Lower middle income,IDA,Rural,7479226,9327983,12906594,36897840,1242364,71,67,66,73,99
AGO,Africa,Angola,Africa,Middle Africa,Elevations > 20m or Non-Contiguous,Lower middle income,IDA,Urban,2584352,3818166,5686249,11037583,1214,25,28,29,22,0
AGO,Africa,Angola,Africa,Middle Africa,Elevations Less Than or Equal To 10m ,Lower middle income,IDA,Rural,46514,61117,84565,466041,3248,0,0,0,1,0
